Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-26 08:05:00 GMT-3,10.0,1.158,41.5,64.96,119.1088,,
2025-01-26 08:10:00 GMT-3,10.06,1.168,41.58,65.02,119.63,,
2025-01-26 08:15:00 GMT-3,10.1,1.17,41.64,65.14,119.993,,
2025-01-26 08:20:00 GMT-3,10.08,1.168,41.76,65.24,120.3506,,
2025-01-26 08:25:00 GMT-3,9.66,1.22,41.06,64.86,118.3758,,
2025-01-26 08:30:00 GMT-3,9.5,1.266,39.84,64.56,118.3516,,
2025-01-26 08:35:00 GMT-3,9.5,1.29,39.36,64.6,118.9138,,
2025-01-26 08:40:00 GMT-3,9.5,1.306,39.22,64.6,119.2182,,
2025-01-26 08:45:00 GMT-3,9.5,1.312,39.18,64.62,119.3724,,
2025-01-26 08:50:00 GMT-3,9.5,1.318,39.08,64.7,119.4594,,
2025-01-26 08:55:00 GMT-3,9.5,1.316,38.98,64.66,119.4206,,
2025-01-26 09:00:00 GMT-3,9.72,1.246,39.0,64.6,118.7298,,
2025-01-26 09:05:00 GMT-3,10.04,1.206,39.68,65.04,120.4954,,
2025-01-26 09:10:00 GMT-3,10.16,1.182,40.38,65.38,121.122,,
2025-01-26 09:15:00 GMT-3,10.2,1.182,40.88,65.64,121.5888,,
2025-01-26 09:20:00 GMT-3,10.3,1.186,41.2,65.78,122.129,,
2025-01-26 09:25:00 GMT-3,10.3,1.188,41.52,65.96,122.3734,,
2025-01-26 09:30:00 GMT-3,10.3,1.186,41.74,66.0,122.303,,
2025-01-26 09:35:00 GMT-3,10.38,1.186,41.94,66.0,122.0398,,
2025-01-26 09:40:00 GMT-3,10.32,1.19,42.08,65.94,121.7,,
2025-01-26 09:45:00 GMT-3,10.4,1.206,42.16,66.12,122.632,,
2025-01-26 09:50:00 GMT-3,10.4,1.192,42.36,66.08,122.4506,,
2025-01-26 09:55:00 GMT-3,10.4,1.19,42.54,66.1,122.5062,,
2025-01-26 10:00:00 GMT-3,10.44,1.188,42.74,66.18,122.6898,,
2025-01-26 10:05:00 GMT-3,10.5,1.182,43.0,66.24,122.6708,,
2025-01-26 10:10:00 GMT-3,10.4,1.18,43.1,66.22,122.4682,,
2025-01-26 10:15:00 GMT-3,10.42,1.18,43.1,66.2,122.4978,,
2025-01-26 10:20:00 GMT-3,10.48,1.178,43.22,66.24,122.6798,,
2025-01-26 10:25:00 GMT-3,10.5,1.174,43.34,66.24,122.777,,
2025-01-26 10:30:00 GMT-3,10.5,1.178,43.48,66.3,122.8996,,
2025-01-26 10:35:00 GMT-3,10.5,1.182,43.54,66.3,122.9058,,
2025-01-26 10:40:00 GMT-3,10.5,1.182,43.58,66.26,122.8182,,
2025-01-26 10:45:00 GMT-3,10.5,1.184,43.68,66.28,123.025,,
2025-01-26 10:50:00 GMT-3,10.52,1.18,43.74,66.36,123.2156,,
2025-01-26 10:55:00 GMT-3,10.6,1.18,43.88,66.44,123.4416,,
2025-01-26 11:00:00 GMT-3,10.6,1.18,44.02,66.36,123.6184,,
2025-01-26 11:05:00 GMT-3,10.6,1.18,44.08,66.4,123.7902,,
2025-01-26 11:10:00 GMT-3,10.52,1.166,44.16,66.46,123.2878,,
2025-01-26 11:15:00 GMT-3,10.12,1.188,43.1,65.88,120.3264,,
2025-01-26 11:20:00 GMT-3,10.1,1.226,42.44,65.62,120.8108,,
2025-01-26 11:25:00 GMT-3,10.1,1.23,42.3,65.6,121.1522,,
2025-01-26 11:30:00 GMT-3,10.1,1.236,42.3,65.68,121.3912,,
2025-01-26 11:35:00 GMT-3,10.06,1.238,42.3,65.7,121.2472,,
2025-01-26 11:40:00 GMT-3,9.8,1.248,41.72,65.22,119.5872,,
2025-01-26 11:45:00 GMT-3,9.8,1.272,41.28,65.06,119.9958,,
2025-01-26 11:50:00 GMT-3,9.78,1.282,41.18,65.06,120.1732,,
2025-01-26 11:55:00 GMT-3,9.94,1.23,41.28,64.94,120.1336,,
2025-01-26 12:00:00 GMT-3,10.16,1.202,42.12,65.44,121.3154,,
2025-01-26 12:05:00 GMT-3,10.3,1.204,42.7,65.8,121.8952,,
2025-01-26 12:10:00 GMT-3,10.36,1.216,43.08,66.06,122.4626,,
2025-01-26 12:15:00 GMT-3,10.4,1.234,43.28,66.26,123.147,,
2025-01-26 12:20:00 GMT-3,10.48,1.246,43.52,66.44,123.9692,,
2025-01-26 12:25:00 GMT-3,10.64,1.272,43.92,66.72,125.88,,
2025-01-26 12:30:00 GMT-3,10.86,1.242,44.68,67.0,126.6084,,
2025-01-26 12:35:00 GMT-3,10.92,1.234,45.16,67.18,126.8886,,
2025-01-26 12:40:00 GMT-3,11.0,1.268,45.5,67.6,128.1832,,
2025-01-26 12:45:00 GMT-3,11.0,1.238,45.6,67.44,127.4526,,
2025-01-26 12:50:00 GMT-3,11.0,1.222,45.7,67.46,127.053,,
2025-01-26 12:55:00 GMT-3,11.0,1.218,45.7,67.42,126.9848,,
2025-01-26 13:00:00 GMT-3,11.0,1.208,45.72,67.48,126.963,,
2025-01-26 13:05:00 GMT-3,11.0,1.21,45.82,67.5,127.0562,,
2025-01-26 13:10:00 GMT-3,11.0,1.202,45.82,67.5,126.8842,,
2025-01-26 13:15:00 GMT-3,11.06,1.202,45.9,67.5,126.858,,
2025-01-26 13:20:00 GMT-3,11.08,1.202,45.82,67.5,126.7438,,
2025-01-26 13:25:00 GMT-3,11.1,1.202,45.86,67.48,126.8526,,
2025-01-26 13:30:00 GMT-3,11.1,1.2,45.92,67.52,126.9398,,
2025-01-26 13:35:00 GMT-3,11.1,1.2,46.0,67.58,127.0054,,
2025-01-26 13:40:00 GMT-3,11.04,1.198,45.92,67.54,126.751,,
2025-01-26 13:45:00 GMT-3,11.0,1.198,45.84,67.46,126.538,,
2025-01-26 13:50:00 GMT-3,11.0,1.194,45.78,67.42,126.4658,,
2025-01-26 13:55:00 GMT-3,11.0,1.196,45.8,67.4,126.5818,,
2025-01-26 14:00:00 GMT-3,11.0,1.196,45.88,67.46,126.6242,,
2025-01-26 14:05:00 GMT-3,11.0,1.198,45.92,67.5,126.7894,,
2025-01-26 14:10:00 GMT-3,10.72,1.2,45.48,67.36,124.9224,,
2025-01-26 14:15:00 GMT-3,10.38,1.27,43.88,66.84,123.7512,,
2025-01-26 14:20:00 GMT-3,10.3,1.314,43.14,66.56,124.4638,,
2025-01-26 14:25:00 GMT-3,10.3,1.34,42.9,66.5,124.9214,,
2025-01-26 14:30:00 GMT-3,10.3,1.354,42.9,66.5,125.375,,
2025-01-26 14:35:00 GMT-3,10.3,1.356,42.96,66.52,125.5522,,
2025-01-26 14:40:00 GMT-3,10.3,1.364,43.0,66.54,125.8716,,
2025-01-26 14:45:00 GMT-3,10.38,1.316,43.0,66.48,125.4098,,
2025-01-26 14:50:00 GMT-3,10.78,1.228,43.98,66.72,125.9958,,
2025-01-26 14:55:00 GMT-3,10.9,1.208,44.78,66.9,126.3018,,
2025-01-26 15:00:00 GMT-3,10.98,1.196,45.38,67.18,126.4868,,
2025-01-26 15:05:00 GMT-3,11.0,1.212,45.64,67.4,126.9996,,
2025-01-26 15:10:00 GMT-3,11.0,1.228,45.72,67.46,127.284,,
2025-01-26 15:15:00 GMT-3,11.0,1.222,45.78,67.48,127.2706,,
2025-01-26 15:20:00 GMT-3,11.0,1.212,45.86,67.5,127.1954,,
2025-01-26 15:25:00 GMT-3,11.0,1.2,45.8,67.4,126.5136,,
2025-01-26 15:30:00 GMT-3,11.04,1.232,45.8,67.5,127.4608,,
2025-01-26 15:35:00 GMT-3,11.1,1.224,45.98,67.68,128.0408,,
2025-01-26 15:40:00 GMT-3,11.14,1.226,46.16,67.84,128.4364,,
2025-01-26 15:45:00 GMT-3,11.2,1.222,46.3,67.94,128.4992,,
2025-01-26 15:50:00 GMT-3,11.2,1.22,46.4,68.02,128.5446,,
2025-01-26 15:55:00 GMT-3,11.2,1.228,46.44,68.0,128.6726,,
2025-01-26 16:00:00 GMT-3,11.2,1.23,46.4,68.0,128.767,,
2025-01-26 16:05:00 GMT-3,11.2,1.216,46.5,68.0,128.354,,
2025-01-26 16:10:00 GMT-3,11.2,1.21,46.5,67.9,128.0382,,
2025-01-26 16:15:00 GMT-3,11.2,1.212,46.5,68.0,128.1602,,
2025-01-26 16:20:00 GMT-3,11.18,1.212,46.48,67.88,127.9324,,
2025-01-26 16:25:00 GMT-3,11.1,1.216,46.3,67.72,127.5148,,
2025-01-26 16:30:00 GMT-3,10.68,1.206,45.34,67.36,124.4774,,
2025-01-26 16:35:00 GMT-3,10.5,1.198,44.0,66.6,123.2918,,
2025-01-26 16:40:00 GMT-3,10.5,1.192,43.64,66.42,123.0832,,
2025-01-26 16:45:00 GMT-3,10.5,1.19,43.74,66.4,123.047,,
2025-01-26 16:50:00 GMT-3,10.5,1.18,43.9,66.4,123.0936,,
2025-01-26 16:55:00 GMT-3,10.5,1.18,43.9,66.4,123.1306,,
2025-01-26 17:00:00 GMT-3,10.5,1.18,43.9,66.38,122.9172,,
2025-01-26 17:05:00 GMT-3,10.5,1.18,43.82,66.3,122.8192,,
2025-01-26 17:10:00 GMT-3,10.5,1.188,43.7,66.28,122.8108,,
2025-01-26 17:15:00 GMT-3,10.56,1.22,43.78,66.38,123.4802,,
2025-01-26 17:20:00 GMT-3,10.76,1.224,44.3,66.76,125.5852,,
2025-01-26 17:25:00 GMT-3,10.84,1.238,44.86,67.1,126.446,,
2025-01-26 17:30:00 GMT-3,10.9,1.248,45.06,67.3,127.0278,,
2025-01-26 17:35:00 GMT-3,10.9,1.244,45.22,67.4,127.2396,,
2025-01-26 17:40:00 GMT-3,10.9,1.226,45.3,67.3,126.8612,,
2025-01-26 17:45:00 GMT-3,10.9,1.214,45.2,67.2,126.2704,,
2025-01-26 17:50:00 GMT-3,10.9,1.214,45.1,67.14,126.2428,,
2025-01-26 17:55:00 GMT-3,10.9,1.208,45.12,67.1,126.1438,,
2025-01-26 18:00:00 GMT-3,10.9,1.202,45.22,67.2,126.2436,,
2025-01-26 18:05:00 GMT-3,10.5,1.208,44.5,67.04,123.8482,,
2025-01-26 18:10:00 GMT-3,10.26,1.24,43.1,66.4,122.6772,,
2025-01-26 18:15:00 GMT-3,10.2,1.256,42.52,66.14,122.517,,
2025-01-26 18:20:00 GMT-3,10.2,1.26,42.32,66.02,122.5902,,
2025-01-26 18:25:00 GMT-3,10.2,1.262,42.3,66.0,122.5722,,
2025-01-26 18:30:00 GMT-3,10.2,1.268,42.34,66.0,122.4908,,
2025-01-26 18:35:00 GMT-3,10.2,1.268,42.3,65.96,122.4742,,
2025-01-26 18:40:00 GMT-3,10.2,1.266,42.38,66.02,122.8004,,
2025-01-26 18:45:00 GMT-3,10.24,1.242,42.44,65.9,122.5576,,
2025-01-26 18:50:00 GMT-3,10.52,1.19,43.12,66.1,123.3896,,
2025-01-26 18:55:00 GMT-3,10.66,1.18,43.84,66.28,123.9276,,
2025-01-26 19:00:00 GMT-3,10.7,1.188,44.2,66.54,124.6648,,
2025-01-26 19:05:00 GMT-3,10.72,1.212,44.34,66.72,125.2362,,
2025-01-26 19:10:00 GMT-3,10.8,1.216,44.42,66.86,125.3714,,
2025-01-26 19:15:00 GMT-3,10.8,1.218,44.56,66.88,125.3962,,
2025-01-26 19:20:00 GMT-3,10.8,1.21,44.6,66.74,125.24,,
2025-01-26 19:25:00 GMT-3,10.8,1.214,44.68,66.8,125.5116,,
2025-01-26 19:30:00 GMT-3,10.88,1.236,44.76,67.1,126.4282,,
2025-01-26 19:35:00 GMT-3,10.82,1.226,44.78,67.0,125.777,,
2025-01-26 19:40:00 GMT-3,10.8,1.21,44.72,66.86,125.5524,,
2025-01-26 19:45:00 GMT-3,10.8,1.21,44.7,66.82,125.4626,,
2025-01-26 19:50:00 GMT-3,10.82,1.21,44.7,66.86,125.5706,,
2025-01-26 19:55:00 GMT-3,10.9,1.206,44.74,66.86,125.7094,,
2025-01-26 20:00:00 GMT-3,10.86,1.194,44.78,66.8,125.1712,,
2025-01-26 20:05:00 GMT-3,10.8,1.188,44.7,66.78,124.7846,,
2025-01-26 20:10:00 GMT-3,10.8,1.178,44.7,66.74,124.6512,,
2025-01-26 20:15:00 GMT-3,10.8,1.17,44.7,66.76,124.8586,,
2025-01-26 20:20:00 GMT-3,10.8,1.174,44.7,66.8,124.8738,,
2025-01-26 20:25:00 GMT-3,10.8,1.182,44.78,66.8,125.0688,,
2025-01-26 20:30:00 GMT-3,10.76,1.19,44.8,66.84,125.172,,
2025-01-26 20:35:00 GMT-3,10.78,1.202,44.44,66.68,125.1858,,
2025-01-26 20:40:00 GMT-3,10.8,1.214,44.54,66.84,125.7554,,
2025-01-26 20:45:00 GMT-3,10.8,1.222,44.62,66.9,125.9132,,
2025-01-26 20:50:00 GMT-3,10.8,1.21,44.68,66.86,125.5988,,
2025-01-26 20:55:00 GMT-3,10.8,1.21,44.62,66.8,125.358,,
2025-01-26 21:00:00 GMT-3,10.8,1.204,44.6,66.72,125.1136,,
2025-01-26 21:05:00 GMT-3,10.8,1.202,44.6,66.74,124.9532,,
2025-01-26 21:10:00 GMT-3,10.8,1.2,44.54,66.72,124.9728,,
2025-01-26 21:15:00 GMT-3,10.8,1.204,44.5,66.66,124.9024,,
2025-01-26 21:20:00 GMT-3,10.58,1.198,44.22,66.64,123.6166,,
2025-01-26 21:25:00 GMT-3,10.18,1.204,42.66,65.8,120.581,,
2025-01-26 21:30:00 GMT-3,10.1,1.21,41.96,65.52,120.5762,,
2025-01-26 21:35:00 GMT-3,10.0,1.208,41.58,65.36,120.3968,,
2025-01-26 21:40:00 GMT-3,10.0,1.204,41.46,65.22,120.2942,,
2025-01-26 21:45:00 GMT-3,10.0,1.2,41.4,65.2,120.2142,,
2025-01-26 21:50:00 GMT-3,10.0,1.204,41.5,65.2,120.2862,,
2025-01-26 21:55:00 GMT-3,10.0,1.22,41.58,65.2,120.5084,,
2025-01-26 22:00:00 GMT-3,10.0,1.23,41.52,65.24,120.5916,,
2025-01-26 22:05:00 GMT-3,10.04,1.234,41.54,65.28,120.8554,,
2025-01-26 22:10:00 GMT-3,10.36,1.25,42.18,65.72,123.3462,,
2025-01-26 22:15:00 GMT-3,10.66,1.234,43.44,66.5,125.3236,,
2025-01-26 22:20:00 GMT-3,10.78,1.244,44.14,66.94,126.4554,,
2025-01-26 22:25:00 GMT-3,10.86,1.246,44.54,67.14,126.9944,,
2025-01-26 22:30:00 GMT-3,10.9,1.222,44.76,67.06,126.598,,
2025-01-26 22:35:00 GMT-3,10.9,1.206,44.82,66.96,126.0672,,
2025-01-26 22:40:00 GMT-3,10.9,1.2,44.78,66.9,125.9178,,
2025-01-26 22:45:00 GMT-3,10.9,1.208,44.8,67.0,126.0522,,
2025-01-26 22:50:00 GMT-3,10.9,1.206,44.8,67.0,126.1608,,
2025-01-26 22:55:00 GMT-3,10.9,1.206,44.8,67.0,126.1824,,
2025-01-26 23:00:00 GMT-3,10.9,1.21,44.82,67.0,126.1866,,
2025-01-26 23:05:00 GMT-3,10.9,1.2,44.84,66.98,125.9752,,
2025-01-26 23:10:00 GMT-3,10.9,1.208,44.8,66.9,125.9216,,
2025-01-26 23:15:00 GMT-3,10.76,1.224,44.22,64.28,109.8062,,
2025-01-26 23:20:00 GMT-3,10.6,1.25,42.58,61.64,97.8724,,
2025-01-26 23:25:00 GMT-3,10.54,1.238,41.74,61.4,97.5818,,
2025-01-26 23:30:00 GMT-3,10.5,1.224,41.44,61.28,97.4028,,
2025-01-26 23:35:00 GMT-3,10.5,1.192,41.28,61.12,96.8778,,
2025-01-26 23:40:00 GMT-3,10.4,1.162,41.14,60.94,96.3592,,
2025-01-26 23:45:00 GMT-3,10.4,1.158,41.0,60.88,96.0104,,
2025-01-26 23:50:00 GMT-3,10.4,1.186,41.04,60.82,96.418,,
2025-01-26 23:55:00 GMT-3,10.4,1.216,41.12,60.88,97.0282,,
2025-01-27 00:00:00 GMT-3,10.4,1.238,41.22,60.9,97.391,,
2025-01-27 00:05:00 GMT-3,10.4,1.24,41.32,61.0,97.8492,,
2025-01-27 00:10:00 GMT-3,10.4,1.242,41.4,61.04,98.0844,,
2025-01-27 00:15:00 GMT-3,10.44,1.274,41.44,61.14,98.7934,,
2025-01-27 00:20:00 GMT-3,10.5,1.308,41.58,61.32,99.6468,,
2025-01-27 00:25:00 GMT-3,10.52,1.332,41.74,61.52,100.4642,,
2025-01-27 00:30:00 GMT-3,10.6,1.342,41.9,61.76,100.9744,,
2025-01-27 00:35:00 GMT-3,10.6,1.336,41.98,61.84,101.081,,
2025-01-27 00:40:00 GMT-3,10.6,1.342,42.0,61.9,101.3864,,
2025-01-27 00:45:00 GMT-3,10.6,1.334,41.94,61.96,101.408,,
2025-01-27 00:50:00 GMT-3,10.6,1.322,41.92,62.0,101.385,,
2025-01-27 00:55:00 GMT-3,10.44,1.306,41.78,61.9,100.6678,,
2025-01-27 01:00:00 GMT-3,10.02,1.334,40.54,60.84,98.4926,,
2025-01-27 01:05:00 GMT-3,10.0,1.362,39.48,60.46,98.7426,,
2025-01-27 01:10:00 GMT-3,10.0,1.368,39.08,60.5,99.0428,,
2025-01-27 01:15:00 GMT-3,10.0,1.37,39.02,60.5,99.1698,,
2025-01-27 01:20:00 GMT-3,10.0,1.37,39.1,60.5,99.1248,,
2025-01-27 01:25:00 GMT-3,10.0,1.37,39.14,60.5,99.1856,,
2025-01-27 01:30:00 GMT-3,10.0,1.36,39.1,60.56,99.2658,,
2025-01-27 01:35:00 GMT-3,9.96,1.35,39.08,60.58,99.245,,
2025-01-27 01:40:00 GMT-3,10.12,1.28,39.2,60.66,99.3446,,
2025-01-27 01:45:00 GMT-3,10.0,1.244,39.46,60.76,98.6356,,
2025-01-27 01:50:00 GMT-3,9.84,1.278,39.06,60.36,97.9066,,
2025-01-27 01:55:00 GMT-3,9.96,1.334,39.08,60.64,99.375,,
2025-01-27 02:00:00 GMT-3,10.02,1.37,39.24,60.94,100.6712,,
2025-01-27 02:05:00 GMT-3,10.1,1.396,39.38,61.12,101.5468,,
2025-01-27 02:10:00 GMT-3,10.1,1.39,39.54,61.28,101.9788,,
2025-01-27 02:15:00 GMT-3,10.1,1.388,39.66,61.38,102.1594,,
2025-01-27 02:20:00 GMT-3,10.28,1.372,39.8,61.54,102.903,,
2025-01-27 02:25:00 GMT-3,10.5,1.378,40.3,62.12,104.6034,,
2025-01-27 02:30:00 GMT-3,10.64,1.382,40.94,62.66,105.8568,,
2025-01-27 02:35:00 GMT-3,10.7,1.33,41.32,62.8,105.4712,,
2025-01-27 02:40:00 GMT-3,10.6,1.302,41.46,62.82,105.1124,,
2025-01-27 02:45:00 GMT-3,10.6,1.292,41.5,62.82,105.0364,,
2025-01-27 02:50:00 GMT-3,10.6,1.288,41.5,62.82,105.247,,
2025-01-27 02:55:00 GMT-3,10.6,1.28,41.58,62.88,105.3676,,
2025-01-27 03:00:00 GMT-3,10.6,1.276,41.62,62.94,105.504,,
2025-01-27 03:05:00 GMT-3,10.6,1.284,41.7,63.0,105.8966,,
2025-01-27 03:10:00 GMT-3,10.64,1.29,41.74,63.08,106.3088,,
2025-01-27 03:15:00 GMT-3,10.7,1.294,41.86,63.2,106.667,,
2025-01-27 03:20:00 GMT-3,10.7,1.29,41.92,63.28,107.0104,,
2025-01-27 03:25:00 GMT-3,10.7,1.288,42.0,63.32,107.1422,,
2025-01-27 03:30:00 GMT-3,10.7,1.292,42.08,63.4,107.58,,
2025-01-27 03:35:00 GMT-3,10.7,1.282,42.1,63.46,107.7538,,
2025-01-27 03:40:00 GMT-3,10.7,1.266,42.14,63.42,107.744,,
2025-01-27 03:45:00 GMT-3,10.7,1.256,42.18,63.42,107.6682,,
2025-01-27 03:50:00 GMT-3,10.7,1.248,42.18,63.4,107.6902,,
2025-01-27 03:55:00 GMT-3,10.7,1.244,42.2,63.46,107.906,,
2025-01-27 04:00:00 GMT-3,10.7,1.246,42.2,63.5,108.097,,
2025-01-27 04:05:00 GMT-3,10.7,1.244,42.26,63.5,108.2882,,
2025-01-27 04:10:00 GMT-3,10.7,1.226,42.3,63.5,108.2156,,
2025-01-27 04:15:00 GMT-3,10.68,1.218,42.3,63.5,108.2878,,
2025-01-27 04:20:00 GMT-3,10.6,1.212,42.28,63.5,108.4116,,
2025-01-27 04:25:00 GMT-3,10.6,1.204,42.3,63.54,108.594,,
2025-01-27 04:30:00 GMT-3,10.6,1.198,42.32,63.56,108.6826,,
2025-01-27 04:35:00 GMT-3,10.6,1.2,42.38,63.6,108.9408,,
2025-01-27 04:40:00 GMT-3,10.66,1.19,42.44,63.66,109.174,,
2025-01-27 04:45:00 GMT-3,10.6,1.19,42.5,63.7,109.2672,,
2025-01-27 04:50:00 GMT-3,10.6,1.188,42.46,63.74,109.5174,,
2025-01-27 04:55:00 GMT-3,10.6,1.184,42.48,63.76,109.6694,,
2025-01-27 05:00:00 GMT-3,10.6,1.182,42.4,63.78,109.8502,,
2025-01-27 05:05:00 GMT-3,10.6,1.18,42.44,63.84,110.183,,
2025-01-27 05:10:00 GMT-3,10.6,1.182,42.56,63.9,110.3676,,
2025-01-27 05:15:00 GMT-3,10.6,1.178,42.6,63.92,110.6784,,
2025-01-27 05:20:00 GMT-3,10.6,1.178,42.6,64.02,110.963,,
2025-01-27 05:25:00 GMT-3,10.6,1.172,42.7,64.04,111.0866,,
2025-01-27 05:30:00 GMT-3,10.6,1.17,42.7,64.1,111.3934,,
2025-01-27 05:35:00 GMT-3,10.6,1.17,42.8,64.2,111.673,,
2025-01-27 05:40:00 GMT-3,10.6,1.166,42.8,64.2,111.8666,,
2025-01-27 05:45:00 GMT-3,10.6,1.16,42.88,64.26,112.067,,
2025-01-27 05:50:00 GMT-3,10.6,1.16,42.98,64.3,112.3994,,
2025-01-27 05:55:00 GMT-3,10.6,1.158,43.02,64.32,112.7244,,
2025-01-27 06:00:00 GMT-3,10.6,1.16,43.16,64.48,113.0892,,
2025-01-27 06:05:00 GMT-3,10.6,1.16,43.2,64.5,113.1704,,
2025-01-27 06:10:00 GMT-3,10.6,1.16,43.2,64.48,113.3992,,
2025-01-27 06:15:00 GMT-3,10.56,1.156,43.2,64.44,113.4872,,
2025-01-27 06:20:00 GMT-3,10.5,1.152,43.12,64.42,113.5432,,
2025-01-27 06:25:00 GMT-3,10.5,1.146,43.0,64.4,113.7872,,
2025-01-27 06:30:00 GMT-3,10.5,1.146,42.96,64.4,114.0298,,
2025-01-27 06:35:00 GMT-3,10.4,1.126,42.88,64.38,113.7228,,
2025-01-27 06:40:00 GMT-3,10.4,1.114,42.8,64.34,113.7278,,
2025-01-27 06:45:00 GMT-3,10.4,1.11,42.72,64.3,113.829,,
2025-01-27 06:50:00 GMT-3,10.1,1.176,42.3,63.92,113.4482,,
2025-01-27 06:55:00 GMT-3,9.84,1.284,41.24,63.24,113.961,,
2025-01-27 07:00:00 GMT-3,9.8,1.324,40.66,63.14,114.569,,
2025-01-27 07:05:00 GMT-3,9.56,1.35,39.96,63.06,113.9676,,
2025-01-27 07:10:00 GMT-3,9.3,1.422,38.88,63.18,113.6128,,
2025-01-27 07:15:00 GMT-3,9.2,1.454,38.98,63.32,114.4794,,
2025-01-27 07:20:00 GMT-3,9.2,1.454,38.86,63.4,114.5252,,
2025-01-27 07:25:00 GMT-3,9.2,1.452,38.74,63.4,114.7972,,
2025-01-27 07:30:00 GMT-3,9.1,1.45,38.64,63.48,114.8166,,
2025-01-27 07:35:00 GMT-3,9.18,1.392,38.52,63.72,114.4642,,
2025-01-27 07:40:00 GMT-3,9.3,1.348,39.08,63.98,114.7378,,
2025-01-27 07:45:00 GMT-3,9.32,1.324,39.46,64.06,114.6834,,
2025-01-27 07:50:00 GMT-3,9.22,1.29,39.38,63.9,113.645,,
2025-01-27 07:55:00 GMT-3,9.3,1.278,39.24,63.92,114.1542,,
2025-01-27 08:00:00 GMT-3,9.3,1.27,39.4,64.02,114.0498,,
2025-01-27 08:05:00 GMT-3,9.26,1.274,39.44,64.02,114.5462,,
2025-01-27 08:10:00 GMT-3,9.44,1.19,39.54,63.96,113.7056,,
2025-01-27 08:15:00 GMT-3,9.76,1.146,39.98,63.9,115.3996,,
2025-01-27 08:20:00 GMT-3,9.88,1.126,40.28,64.06,116.268,,
2025-01-27 08:25:00 GMT-3,9.92,1.108,40.48,64.14,116.4566,,
2025-01-27 08:30:00 GMT-3,10.22,1.142,40.82,64.68,118.9514,,
2025-01-27 08:35:00 GMT-3,10.36,1.124,41.4,65.08,119.926,,
2025-01-27 08:40:00 GMT-3,10.46,1.124,42.02,65.44,120.5942,,
2025-01-27 08:45:00 GMT-3,10.5,1.112,42.42,65.58,120.6752,,
2025-01-27 08:50:00 GMT-3,10.28,1.178,42.44,65.78,120.8902,,
2025-01-27 08:55:00 GMT-3,10.06,1.304,41.72,65.66,122.244,,
2025-01-27 09:00:00 GMT-3,10.0,1.316,41.24,65.42,122.0468,,
2025-01-27 09:05:00 GMT-3,10.0,1.31,41.02,65.3,121.8038,,
2025-01-27 09:10:00 GMT-3,9.9,1.302,40.88,65.32,122.0694,,
2025-01-27 09:15:00 GMT-3,9.9,1.296,40.8,65.22,121.7382,,
2025-01-27 09:20:00 GMT-3,9.9,1.288,40.7,65.16,121.1672,,
2025-01-27 09:25:00 GMT-3,9.9,1.292,40.7,65.1,121.2006,,
2025-01-27 09:30:00 GMT-3,9.9,1.3,40.78,65.12,121.174,,
2025-01-27 09:35:00 GMT-3,9.9,1.3,40.7,65.14,121.3778,,
2025-01-27 09:40:00 GMT-3,9.9,1.304,40.7,65.24,121.6348,,
2025-01-27 09:45:00 GMT-3,9.9,1.314,40.78,65.36,121.9118,,
2025-01-27 09:50:00 GMT-3,10.1,1.266,41.02,65.34,121.9076,,
2025-01-27 09:55:00 GMT-3,10.46,1.182,42.06,65.9,122.5884,,
2025-01-27 10:00:00 GMT-3,10.5,1.144,42.84,65.9,121.906,,
2025-01-27 10:05:00 GMT-3,10.56,1.106,43.18,65.98,121.4828,,
2025-01-27 10:10:00 GMT-3,10.68,1.078,43.68,66.5,122.1392,,
2025-01-27 10:15:00 GMT-3,10.68,1.076,43.98,66.56,122.0374,,
2025-01-27 10:20:00 GMT-3,10.6,1.078,44.0,66.44,121.896,,
2025-01-27 10:25:00 GMT-3,10.6,1.08,43.92,66.32,121.4798,,
2025-01-27 10:30:00 GMT-3,10.6,1.09,43.94,66.2,121.4244,,
2025-01-27 10:35:00 GMT-3,10.68,1.106,44.02,66.2,121.795,,
2025-01-27 10:40:00 GMT-3,10.7,1.124,44.16,66.36,122.4682,,
2025-01-27 10:45:00 GMT-3,10.7,1.136,44.36,66.48,123.0932,,
2025-01-27 10:50:00 GMT-3,10.7,1.138,44.42,66.5,123.1484,,
2025-01-27 10:55:00 GMT-3,10.7,1.132,44.42,66.5,123.1972,,
2025-01-27 11:00:00 GMT-3,10.7,1.13,44.48,66.52,123.2298,,
2025-01-27 11:05:00 GMT-3,10.7,1.132,44.5,66.5,123.0848,,
2025-01-27 11:10:00 GMT-3,10.7,1.134,44.48,66.5,122.9586,,
2025-01-27 11:15:00 GMT-3,10.68,1.13,44.36,66.4,122.6002,,
2025-01-27 11:20:00 GMT-3,10.6,1.13,44.18,66.3,122.3146,,
2025-01-27 11:25:00 GMT-3,10.6,1.12,44.18,66.3,122.3542,,
2025-01-27 11:30:00 GMT-3,10.48,1.168,43.62,64.14,111.8712,,
2025-01-27 11:35:00 GMT-3,10.24,1.268,41.9,61.64,100.8082,,
