Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-01 06:05:00 GMT-3,8.8,1.21,38.84,59.6,83.0714,,
2025-01-01 06:10:00 GMT-3,8.8,1.21,38.86,59.6,83.083,,
2025-01-01 06:15:00 GMT-3,8.8,1.212,38.9,59.6,83.0738,,
2025-01-01 06:20:00 GMT-3,8.8,1.214,38.82,59.58,83.0346,,
2025-01-01 06:25:00 GMT-3,8.8,1.214,38.9,59.58,83.0414,,
2025-01-01 06:30:00 GMT-3,8.8,1.21,38.88,59.52,83.0472,,
2025-01-01 06:35:00 GMT-3,8.8,1.21,38.86,59.5,82.8782,,
2025-01-01 06:40:00 GMT-3,8.76,1.202,38.82,59.5,82.7404,,
2025-01-01 06:45:00 GMT-3,8.42,1.204,38.66,59.1,81.2804,,
2025-01-01 06:50:00 GMT-3,8.3,1.24,38.4,58.7,80.8258,,
2025-01-01 06:55:00 GMT-3,8.28,1.26,38.2,58.66,80.9096,,
2025-01-01 07:00:00 GMT-3,7.98,1.284,38.02,58.26,79.6112,,
2025-01-01 07:05:00 GMT-3,7.9,1.314,37.62,57.94,79.3984,,
2025-01-01 07:10:00 GMT-3,7.9,1.34,37.36,57.92,79.7356,,
2025-01-01 07:15:00 GMT-3,7.88,1.332,37.2,57.88,79.7948,,
2025-01-01 07:20:00 GMT-3,8.04,1.302,37.36,58.16,80.3816,,
2025-01-01 07:25:00 GMT-3,8.1,1.298,37.66,58.4,80.715,,
2025-01-01 07:30:00 GMT-3,8.42,1.26,38.08,58.98,82.0958,,
2025-01-01 07:35:00 GMT-3,8.58,1.226,38.58,59.48,82.6018,,
2025-01-01 07:40:00 GMT-3,8.7,1.206,38.92,59.76,82.9496,,
2025-01-01 07:45:00 GMT-3,8.7,1.194,39.08,59.88,83.103,,
2025-01-01 07:50:00 GMT-3,8.8,1.216,39.18,60.0,83.6312,,
2025-01-01 07:55:00 GMT-3,8.84,1.238,39.36,60.1,84.237,,
2025-01-01 08:00:00 GMT-3,8.9,1.262,39.44,60.16,84.734,,
2025-01-01 08:05:00 GMT-3,8.94,1.242,39.54,60.22,84.571,,
2025-01-01 08:10:00 GMT-3,9.0,1.236,39.62,60.32,84.8798,,
2025-01-01 08:15:00 GMT-3,9.0,1.228,39.68,60.34,84.9656,,
2025-01-01 08:20:00 GMT-3,9.0,1.22,39.72,60.4,84.9088,,
2025-01-01 08:25:00 GMT-3,9.1,1.22,39.78,60.42,85.048,,
2025-01-01 08:30:00 GMT-3,9.1,1.22,39.88,60.5,85.179,,
2025-01-01 08:35:00 GMT-3,9.1,1.218,39.9,60.5,85.2948,,
2025-01-01 08:40:00 GMT-3,9.1,1.22,39.9,60.5,85.3684,,
2025-01-01 08:45:00 GMT-3,9.12,1.224,39.98,60.52,85.488,,
2025-01-01 08:50:00 GMT-3,9.2,1.224,40.0,60.58,85.559,,
